2022-04-02 16:59:58 | loaded 474/482 parameter items from ./YOLOLITE/model/v5lite-s.pth
2022-04-02 16:59:58 | Optimizer groups: 82 .bias, 82 conv.weight, 79 other
2022-04-02 16:59:59 | Image sizes 512 train, 512 test,  Using 8 dataloader workers, Logging results to YOLOLITE/save_nowarm, Starting training for 50 epochs...
2022-04-02 17:00:17 | epoch    1/50 | iter:  35/259 | boxloss 0.051748 | objloss 0.010873 | clsloss 0.025972 | totalloss 0.088593 | labels 408 | time 0.371183s
2022-04-02 17:00:18 | epoch    1/50 | iter:  36/259 | boxloss 0.051411 | objloss 0.010872 | clsloss 0.025897 | totalloss 0.088181 | labels 385 | time 0.371561s
2022-04-02 17:00:18 | epoch    1/50 | iter:  37/259 | boxloss 0.051105 | objloss 0.010867 | clsloss 0.025844 | totalloss 0.087817 | labels 378 | time 0.381351s
2022-04-02 17:00:18 | epoch    1/50 | iter:  38/259 | boxloss 0.050848 | objloss 0.010854 | clsloss 0.025775 | totalloss 0.087477 | labels 380 | time 0.379172s
2022-04-02 17:00:19 | epoch    1/50 | iter:  39/259 | boxloss 0.050575 | objloss 0.010849 | clsloss 0.025708 | totalloss 0.087131 | labels 370 | time 0.374296s
2022-04-02 17:00:19 | epoch    1/50 | iter:  40/259 | boxloss 0.050297 | objloss 0.010858 | clsloss 0.025645 | totalloss 0.086800 | labels 405 | time 0.387056s
2022-04-02 17:00:20 | epoch    1/50 | iter:  41/259 | boxloss 0.050063 | objloss 0.010918 | clsloss 0.025580 | totalloss 0.086561 | labels 498 | time 0.380761s
2022-04-02 17:00:20 | epoch    1/50 | iter:  42/259 | boxloss 0.049818 | objloss 0.010936 | clsloss 0.025519 | totalloss 0.086272 | labels 448 | time 0.374958s
2022-04-02 17:00:20 | epoch    1/50 | iter:  43/259 | boxloss 0.049566 | objloss 0.010924 | clsloss 0.025468 | totalloss 0.085958 | labels 382 | time 0.371196s
2022-04-02 17:00:21 | epoch    1/50 | iter:  44/259 | boxloss 0.049356 | objloss 0.010941 | clsloss 0.025429 | totalloss 0.085726 | labels 454 | time 0.371730s
2022-04-02 17:00:21 | epoch    1/50 | iter:  45/259 | boxloss 0.049141 | objloss 0.010923 | clsloss 0.025378 | totalloss 0.085442 | labels 379 | time 0.374523s
2022-04-02 17:00:21 | epoch    1/50 | iter:  46/259 | boxloss 0.048960 | objloss 0.010931 | clsloss 0.025327 | totalloss 0.085218 | labels 435 | time 0.369496s
2022-04-02 17:00:22 | epoch    1/50 | iter:  47/259 | boxloss 0.048773 | objloss 0.010965 | clsloss 0.025282 | totalloss 0.085020 | labels 504 | time 0.380711s
2022-04-02 17:00:22 | epoch    1/50 | iter:  48/259 | boxloss 0.048581 | objloss 0.010997 | clsloss 0.025225 | totalloss 0.084803 | labels 514 | time 0.383645s
2022-04-02 17:00:23 | epoch    1/50 | iter:  49/259 | boxloss 0.048387 | objloss 0.011016 | clsloss 0.025173 | totalloss 0.084576 | labels 469 | time 0.364694s
2022-04-02 17:00:23 | epoch    1/50 | iter:  50/259 | boxloss 0.048161 | objloss 0.011020 | clsloss 0.025115 | totalloss 0.084296 | labels 405 | time 0.378537s
2022-04-02 17:00:23 | epoch    1/50 | iter:  51/259 | boxloss 0.047993 | objloss 0.011043 | clsloss 0.025054 | totalloss 0.084090 | labels 470 | time 0.370904s
2022-04-02 17:00:24 | epoch    1/50 | iter:  52/259 | boxloss 0.047838 | objloss 0.011052 | clsloss 0.024989 | totalloss 0.083879 | labels 456 | time 0.372077s
2022-04-02 17:00:24 | epoch    1/50 | iter:  53/259 | boxloss 0.047698 | objloss 0.011041 | clsloss 0.024950 | totalloss 0.083689 | labels 412 | time 0.373941s
2022-04-02 17:00:24 | epoch    1/50 | iter:  54/259 | boxloss 0.047544 | objloss 0.011034 | clsloss 0.024895 | totalloss 0.083472 | labels 443 | time 0.373865s
2022-04-02 17:00:25 | epoch    1/50 | iter:  55/259 | boxloss 0.047408 | objloss 0.011041 | clsloss 0.024858 | totalloss 0.083307 | labels 455 | time 0.375542s
2022-04-02 17:00:25 | epoch    1/50 | iter:  56/259 | boxloss 0.047251 | objloss 0.011042 | clsloss 0.024806 | totalloss 0.083099 | labels 440 | time 0.374920s
2022-04-02 17:00:26 | epoch    1/50 | iter:  57/259 | boxloss 0.047136 | objloss 0.011033 | clsloss 0.024781 | totalloss 0.082950 | labels 450 | time 0.372149s
2022-04-02 17:00:26 | epoch    1/50 | iter:  58/259 | boxloss 0.046984 | objloss 0.011032 | clsloss 0.024734 | totalloss 0.082749 | labels 427 | time 0.373702s
2022-04-02 17:00:26 | epoch    1/50 | iter:  59/259 | boxloss 0.046832 | objloss 0.011027 | clsloss 0.024704 | totalloss 0.082564 | labels 431 | time 0.377644s
